Nom;Nombre de vélos en station;Nombre de places vides;Nombre totales de places;Pourcentage de vélos restants;num_bikes_disabled;Commune;geopoint;coord
Corum;3;9;12;25.0;0;Montpellier;43.613989,3.8816;43.613989, 3.8816
Halles Castellane;2;10;12;16.666666666666664;0;Montpellier;43.609935,3.877208;43.609935, 3.877208
Plan Cabanes;3;9;12;25.0;0;Montpellier;43.608491,3.868389;43.608491, 3.868389
Renouvier;5;3;8;62.5;0;Montpellier;43.603553,3.867884;43.603553, 3.867884
Odysseum;6;2;8;75.0;0;Montpellier;43.603727,3.918979;43.603727, 3.918979
Richter;9;7;16;56.25;0;Montpellier;43.603424,3.899263;43.603424, 3.899263
Voltaire;1;7;8;12.5;0;Montpellier;43.603767,3.888659;43.603767, 3.888659
Prés d'Arènes;6;2;8;75.0;0;Montpellier;43.59048,3.884611;43.59048, 3.884611
Vert Bois;0;0;0;;0;Montpellier;43.63458,3.86823;43.63458, 3.86823
Sabines;4;4;8;50.0;0;Montpellier;43.584211,3.860031;43.584211, 3.860031
Père Soulas;5;3;8;62.5;0;Montpellier;43.621983,3.855603;43.621983, 3.855603
Hôtel du Département;4;4;8;50.0;0;Montpellier;43.621682,3.83477;43.621682, 3.83477
Place Albert 1er - St Charles;12;15;27;44.44444444444444;0;Montpellier;43.616768,3.873375;43.616768, 3.873375
Rondelet;11;5;16;68.75;0;Montpellier;43.603038,3.875796;43.603038, 3.875796
Boutonnet;8;4;12;66.66666666666666;0;Montpellier;43.622629,3.868375;43.622629, 3.868375
Beaux-Arts;11;17;28;39.285714285714285;0;Montpellier;43.616698,3.884981;43.616698, 3.884981
Les Aubes;2;6;8;25.0;0;Montpellier;43.618692,3.893844;43.618692, 3.893844
Louis Blanc;6;10;16;37.5;0;Montpellier;43.614642,3.877648;43.614642, 3.877648
Cité Mion;5;3;8;62.5;0;Montpellier;43.601143,3.884373;43.601143, 3.884373
Marie Caizergues;1;7;8;12.5;0;Montpellier;43.619871,3.873812;43.619871, 3.873812
Jardin de la Lironde;5;3;8;62.5;0;Montpellier;43.60585,3.911576;43.60585, 3.911576
Providence - Ovalie;7;1;8;87.5;0;Montpellier;43.588239,3.853421;43.588239, 3.853421
Albert 1er - Cathédrale;11;1;12;91.66666666666666;0;Montpellier;43.614005,3.873218;43.614005, 3.873218
Saint-Guilhem - Courreau;2;6;8;25.0;0;Montpellier;43.608996,3.872752;43.608996, 3.872752
Nombre d'Or;7;9;16;43.75;0;Montpellier;43.607859,3.886644;43.607859, 3.886644
Gambetta;2;6;8;25.0;0;Montpellier;43.607106,3.870693;43.607106, 3.870693
Port Marianne;9;7;16;56.25;0;Montpellier;43.60032,3.89851;43.60032, 3.89851
Malbosc;2;6;8;25.0;0;Montpellier;43.633679,3.832861;43.633679, 3.832861
Fac de Lettres;0;16;16;0.0;0;Montpellier;43.630665,3.87023;43.630665, 3.87023
Euromédecine;7;1;8;87.5;0;Montpellier;43.639119,3.828199;43.639119, 3.828199
Celleneuve;2;6;8;25.0;0;Montpellier;43.61467,3.832624;43.61467, 3.832624
Pont de Lattes - Gare Saint-Roch;0;12;12;0.0;0;Montpellier;43.606036,3.882393;43.606036, 3.882393
Sud De France;0;8;8;0.0;0;Montpellier;43.59562,3.9235;43.59562, 3.9235
Esplanade;15;17;32;46.875;0;Montpellier;43.609478,3.881293;43.609478, 3.881293
Observatoire;0;8;8;0.0;0;Montpellier;43.606081,3.876931;43.606081, 3.876931
Les Arceaux;9;7;16;56.25;0;Montpellier;43.611991,3.867157;43.611991, 3.867157
Garcia Lorca;6;2;8;75.0;0;Montpellier;43.590757,3.890616;43.590757, 3.890616
Place Viala;3;5;8;37.5;0;Montpellier;43.616812,3.855075;43.616812, 3.855075
Pérols Etang de l'Or;21;47;68;30.88235294117647;0;Pérols;43.558351,3.963412;43.558351, 3.963412
Rue Jules Ferry - Gare Saint-Roch;4;8;12;33.33333333333333;0;Montpellier;43.605366,3.881346;43.605366, 3.881346
Comédie;11;13;24;45.83333333333333;0;Montpellier;43.608148,3.878778;43.608148, 3.878778
Hôtel de Ville;10;6;16;62.5;0;Montpellier;43.599088,3.894866;43.599088, 3.894866
Foch;1;7;8;12.5;0;Montpellier;43.610989,3.873345;43.610989, 3.873345
Emile Combes;5;3;8;62.5;0;Montpellier;43.616742,3.87998;43.616742, 3.87998
Antigone centre;7;9;16;43.75;0;Montpellier;43.607942,3.890634;43.607942, 3.890634
Médiathèque Emile Zola;8;8;16;50.0;0;Montpellier;43.608218,3.89314;43.608218, 3.89314
Clemenceau;6;6;12;50.0;0;Montpellier;43.603539,3.872394;43.603539, 3.872394
Nouveau Saint-Roch;3;5;8;37.5;0;Montpellier;43.599817,3.875757;43.599817, 3.875757
Saint-Denis;4;4;8;50.0;0;Montpellier;43.605021,3.875065;43.605021, 3.875065
Charles Flahault;1;7;8;12.5;0;Montpellier;43.618762,3.865971;43.618762, 3.865971
Occitanie;8;24;32;25.0;0;Montpellier;43.634242,3.849128;43.634242, 3.849128
FacdesSciences;5;19;24;20.833333333333336;0;Montpellier;43.631018,3.860697;43.631018, 3.860697
Aiguelongue;0;8;8;0.0;0;Montpellier;43.626163,3.882492;43.626163, 3.882492
Jeu de Mail des Abbés;4;4;8;50.0;0;Montpellier;43.619701,3.883831;43.619701, 3.883831
Tonnelles;5;3;8;62.5;0;Montpellier;43.615155,3.839466;43.615155, 3.839466
Parvis Jules Ferry - Gare Saint-Roch;3;5;8;37.5;0;Montpellier;43.603889,3.879362;43.603889, 3.879362
Deux Ponts - Gare Saint-Roch;7;1;8;87.5;0;Montpellier;43.604319,3.880916;43.604319, 3.880916
