nom,secteur,installati,commune,numero,type_stati
Providence-Ovalie,Le Grand M,8 vélos,MONTPELLIER,54,sans CB
Pérols,ligne 3,24 vélos,PEROLS,0,avec CB
Euromédecine,ligne 1,8 vélos,MONTPELLIER,41,sans CB
Malbosc,ligne 1,8 vélos,MONTPELLIER,35,sans CB
Hôtel du Département,ligne 3,8 vélos,MONTPELLIER,48,sans CB
Celleneuve, ,8 vélos,MONTPELLIER,44,sans CB
Tonnelles,ligne 3,8 vélos,MONTPELLIER,49,sans CB
Occitanie,ligne 1,32 vélos,MONTPELLIER,36,avec CB
Fac des Sciences, ,24 vélos,MONTPELLIER,37,sans CB
Vert Bois, ,8 vélos,MONTPELLIER,34,sans CB
Fac de Lettres, ,28 vélos,MONTPELLIER,38,avec CB
Boutonnet,ligne 1,12 vélos,MONTPELLIER,12,avec CB
Charles Flahault, ,8 vélos,MONTPELLIER,30,sans CB
Place Viala, ,8 vélos,MONTPELLIER,47,avec CB
Père Soulas, ,8 vélos,MONTPELLIER,46,sans CB
Aiguelongue,ligne 2,8 vélos,MONTPELLIER,39,sans CB
Marie Caizergues, ,8 vélos,MONTPELLIER,42,sans CB
Jeu de Mail des Abbés,ligne 2,8 vélos,MONTPELLIER,40,sans CB
Les Aubes, ,8 vélos,MONTPELLIER,15,sans CB
Louis Blanc,lignes 1-4,16 vélos,MONTPELLIER,19,avec CB
Emile Combes, ,8 vélos,MONTPELLIER,13,sans CB
Corum,lignes 1-2-4,16 vélos,MONTPELLIER,5,avec CB
Beaux-Arts,ligne 2,8 vélos,MONTPELLIER,14,sans CB
Les Arceaux,Peyrou,16 vélos,MONTPELLIER,23,avec CB
Foch,Peyrou,8 vélos,MONTPELLIER,7,sans CB
Plan Cabanes,ligne 3,12 vélos,MONTPELLIER,11,avec CB
Gambetta,ligne 3,8 vélos,MONTPELLIER,20,sans CB
Renouvier, ,8 vélos,MONTPELLIER,26,sans CB
Clémenceau, ,16 vélos,MONTPELLIER,22,sans CB
Halles Castellane, ,16 vélos,MONTPELLIER,8,sans CB
Esplanade,lignes 1-2,32 vélos,MONTPELLIER,3,avec CB
Comédie,lignes 1-2,24 vélos,MONTPELLIER,2,avec CB
Observatoire,lignes 3-4,8 vélos,MONTPELLIER,9,avec CB
Rue Jules Ferry,lignes 1-2-3-4,16 vélos,MONTPELLIER,1,avec CB
Saint-Denis,lignes 3-4,8 vélos,MONTPELLIER,28,sans CB
Parvis Jules Ferry,Gare Saint-Roch,16 vélos,MONTPELLIER,50,avec CB
Nouveau Saint-Roch,ligne 2,8 vélos,MONTPELLIER,25,sans CB
Cité Mion, ,8 vélos,MONTPELLIER,24,sans CB
Voltaire,ligne 3,8 vélos,MONTPELLIER,31,sans CB
Nombre d'Or,Antigone ligne 1,16 vélos,MONTPELLIER,18,avec CB
Antigone Centre,Agglomération de Montpellier,16 vélos,MONTPELLIER,16,avec CB
Médiathèque Emile Zola,Place de l'Europe lignes 1-4,16 vélos,MONTPELLIER,17,avec CB
Hôtel de Ville,lignes 1-3-4,16 vélos,MONTPELLIER,4,avec CB
Port Marianne,Bassin Jacques Coeur,16 vélos,MONTPELLIER,21,avec CB
Richter,ISEM,16 vélos,MONTPELLIER,29,avec CB
Jardin de la Lironde, ,8 vélos,MONTPELLIER,45,sans CB
Odysseum,ligne 1,8 vélos,MONTPELLIER,27,avec CB
Garcia Lorca,ligne 4,8 vélos,MONTPELLIER,33,sans CB
Près d'Arènes,Restanque ligne 4,8 vélos,MONTPELLIER,32,sans CB
Sabines,ligne 2,8 vélos,MONTPELLIER,43,sans CB
Rondelet,lignes 2-4,16 vélos,MONTPELLIER,10,avec CB
Place Albert 1er - St-Charles,lignes 1-4,24 vélos,MONTPELLIER,6,avec CB
Montpellier Sud de France,Navette Gare Montpellier Sud de France,8 Vélos,MONTPELLIER,59,sans CB
 Deux Ponts - Gare Saint-Roch,Gare Saint-Roch,8 vélos,MONTPELLIER,53,sans CB
Albert 1er - Cathedrale,ligne 4,12 vélos,MONTPELLIER,55,avec CB
Pont de Lattes - Gare St-Roch,Gare Saint-Roch,12 vélos,MONTPELLIER,51,avec CB
Saint-Guilhem - Courreau,Ligne 4, 8 vélos,MONTPELLIER,56,sans CB
